Study,IN Nano,,SC Nano,,IM IIAV,,Naïve,
D35 H3N2 NP,400,400,6400,12800,1,1,1,1
D35 H3N2 NP,400,200,1600,1600,1,1,1,1
D35 H3N2 NP,400,400,800,800,1,1,1,1
D35 H3N2 NP,200,1,400,1,1,1,1,1
D35 H3N2 NP,1,200,800,3200,1,1,1,1
D35 H3N2 NP,200,200,12800,12800,1,1,1,1
D35 H3N2 NP,200,200,204800,409600,1,1,1,1
D35 H3N2 NP,200,200,1600,1600,1,1,1,1
D35 H3N2 NP,200,200,200,200,1,1,1,1
D35 H3N2 NP,400,200,200,400,200,200,1,1
D35 H3N2 NP,200,200,1,200,1,200,1,1
D35 H3N2 NP,200,200,200,1,1,1,1,1
D35 H3N2 NP,1,1,3200,3200,1,1,1,1
D35 H3N2 NP,200,200,400,400,1,1,1,1
D35 H3N2 NP,200,200,200,200,1,1,1,1
D35 H3N2 NP,400,400,1,200,1,1,1,1
D35 H3N2 NP,200,400,200,200,200,200,200,200
D35 H3N2 NP,51200,25600,1600,1600,200,200,200,200
D35 H3N2 NP,25600,51200,25600,25600,1,1,200,1
D35 H3N2 NP,1,200,3200,3200,400,400,1,200
D35 H3N2 NP,1,200,6400,12800,200,200,200,200
D35 H3N2 NP,200,200,800,800,1,1,200,200
D35 H3N2 NP,1,1,200,200,200,200,1,200
D35 H3N2 NP,1,1,1,1,1,200,200,200
D35 H3N2 NP,200,200,400,400,1600,1600,1,1
D35 H3N2 NP,1,200,6400,6400,200,200,200,200
D35 H3N2 NP,200,200,12800,12800,200,200,1,1
D35 H3N2 NP,1,1,1600,800,200,200,1,200
D35 H3N2 NP,200,200,6400,12800,,,200,200
D35 H3N2 NP,51200,25600,200,1,,,1,1
D35 H3N2 NP,102400,204800,200,200,,,1,200
D35 H3N2 NP,1,1,1600,1600,,,1,1
D35 H3N2 NP,6400,6400,6400,6400,1,200,400,400
D35 H3N2 NP,200,1,200,1,200,200,200,400
D35 H3N2 NP,400,1,400,1,200,200,400,200
D35 H3N2 NP,400,1,400,1,400,1,800,800
D35 H3N2 NP,6400,6400,800,800,200,200,1,200
D35 H3N2 NP,200,1,12800,12800,200,400,200,200
D35 H3N2 NP,400,1,1600,1600,800,800,200,200
D35 H3N2 NP,400,1,800,800,400,400,400,1
D35 H3N8 HA,25600,25600,51200,25600,200,1,1,1
D35 H3N8 HA,3200,1600,51200,51200,1,1,1,1
D35 H3N8 HA,12800,12800,51200,51200,1,1,1,1
D35 H3N8 HA,6400,6400,6400,1,400,800,1,1
D35 H3N8 HA,1,12800,51200,12800,1,1,1,1
D35 H3N8 HA,6400,6400,25600,12800,1,1,1,1
D35 H3N8 HA,200,1,6400,1,1,1,1,1
D35 H3N8 HA,1600,3200,3200,6400,1,1,1,1
D35 H3N8 HA,3200,3200,12800,12800,1,1,1,1
D35 H3N8 HA,6400,6400,200,200,1,1,1,1
D35 H3N8 HA,25600,25600,200,200,1,1,200,200
D35 H3N8 HA,51200,102400,400,800,1,1,1,1
D35 H3N8 HA,1600,800,800,800,1,1,1,1
D35 H3N8 HA,12800,12800,400,800,1,1,1,1
D35 H3N8 HA,6400,6400,200,200,1,1,1,1
D35 H3N8 HA,25600,51200,200,200,1,1,1,1
D35 H3N8 HA,200,200,6400,12800,1,1,1,1
D35 H3N8 HA,200,200,1600,1600,1,1,200,1
D35 H3N8 HA,800,800,204800,204800,1,1,1,1
D35 H3N8 HA,1,1,102400,51200,1,1,1,1
D35 H3N8 HA,1,1,6400,12800,1,1,1,1
D35 H3N8 HA,1,1,25600,25600,1,1,1,1
D35 H3N8 HA,1,1,51200,102400,1,1,200,1
D35 H3N8 HA,1,1,6400,3200,1,1,1,1
D35 H3N8 HA,200,200,25600,25600,200,200,1,1
D35 H3N8 HA,200,200,6400,6400,1,1,1,1
D35 H3N8 HA,200,200,102400,51200,1,1,1,1
D35 H3N8 HA,200,200,102400,102400,1,1,1,1
D35 H3N8 HA,200,200,51200,51200,,,1,1
D35 H3N8 HA,3200,3200,12800,12800,,,1,1
D35 H3N8 HA,3200,3200,6400,6400,,,1,1
D35 H3N8 HA,1,1,51200,25600,,,200,1
D35 H3N8 HA,800,1600,800,800,3200,3200,400,400
D35 H3N8 HA,12800,12800,800,1,1600,800,200,1600
D35 H3N8 HA,3200,3200,3200,3200,1600,800,800,800
D35 H3N8 HA,800,1600,800,800,400,400,400,1
D35 H3N8 HA,800,1600,1600,1,400,400,400,1
D35 H3N8 HA,12800,12800,1600,1,200,1600,400,1
D35 H3N8 HA,3200,3200,800,1,800,800,800,1
D35 H3N8 HA,800,1600,800,1,400,1,400,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,200,200,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,200,1
D14 H3N2 NP,1,1,400,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,200,200,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,200,200,1,1,1,1,1,1
D14 H3N2 NP,1,200,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,200,1
D14 H3N2 NP,200,400,1,1,1,1,200,1
D14 H3N2 NP,1,1,1,1,1,200,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,200,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,200,200,400,800,1,200,1,1
D14 H3N2 NP,200,1,200,200,1,200,200,1
D14 H3N2 NP,200,200,800,200,1,1,1,1
D14 H3N2 NP,200,200,1,1,1,1,1,1
D14 H3N2 NP,200,200,1,1,200,1,1,1
D14 H3N2 NP,1,1,200,200,200,200,200,200
D14 H3N2 NP,1,1,1,1,200,400,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,200
D14 H3N2 NP,400,400,1,1,1,1,1,1
D14 H3N2 NP,200,400,1,1,200,200,200,200
D14 H3N2 NP,1,200,1,1,1,1,1,1
D14 H3N2 NP,200,800,1,200,200,200,200,200
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,200,1,1,1,1,1
D14 H3N2 NP,1,1,800,1,1,200,1,1
D14 H3N2 NP,1,1,400,1,200,1,1,1
D14 H3N2 NP,1,1,1,1,1,1,1,1
D14 H3N2 NP,1,1,1,200,1,800,1,1
D14 H3N2 NP,400,1,1,200,200,1,1,1
D14 H3N8 HA,800,400,1,3200,1,1,1,1
D14 H3N8 HA,1,200,400,400,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,1
D14 H3N8 HA,1600,1600,400,800,1,1,1,1
D14 H3N8 HA,1600,800,400,400,1,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,1,200,1,1,1,1,1,1
D14 H3N8 HA,400,400,1,1,1,1,1,1
D14 H3N8 HA,1600,1600,1,1,1,1,1,1
D14 H3N8 HA,1,1,1,1,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,1
D14 H3N8 HA,12800,12800,1,1,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,1
D14 H3N8 HA,200,200,1,1,1,1,1,1
D14 H3N8 HA,400,400,1,1,200,200,1,1
D14 H3N8 HA,800,800,1,1,200,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,1
D14 H3N8 HA,3200,3200,400,800,1,1,1,1
D14 H3N8 HA,1600,800,800,400,1,1,1,1
D14 H3N8 HA,200,200,1,1,1,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,12800,12800,1,1,1,1,1,1
D14 H3N8 HA,400,400,1,1,200,1,1,1
D14 H3N8 HA,1,6400,1,1,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,200
D14 H3N8 HA,400,400,1,1,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,1
D14 H3N8 HA,1600,1600,1,1,1,1,1,1
D14 H3N8 HA,800,800,1,200,200,200,200,200
D14 H3N8 HA,800,800,1,6400,1,1,1,1
D14 H3N8 HA,400,400,800,400,1,1,1,1
D14 H3N8 HA,800,800,1,1,1,1,1,1
D14 H3N8 HA,1600,800,1,1,1,1,1,1
D14 H3N8 HA,1600,3200,800,800,1,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,200,200,800,800,1,1,1,1
D14 H3N8 HA,1,200,400,800,1,1,1,1